Symbol	Description
NI225	Nikkei 225
NNY	US 100
NNYE	ENERGY IDX
NNYI	INTERNATIONAL 100
NNYK	FINANCIAL
NNYL	WORLD LEADERS
NNYP	HEALTH CARE
NNYY	TMT IDX
NQGM	Ndaq Global Market Composite
NQGS	NASDAQ Global Select Market Composite Index
NSEI	CNX Nifty
NSHD	NYSE Declining Stocks
NSHF	NYSE Advances - Declines
NSHR	NYSE Advance Decline Ratio
NSHU	NYSE Advancing Stocks
NVLD	NYSE Declining Volume
NVLF	NYSE Advance Decline Volume Difference
NVLR	NYSE Advance Decline Vol Ratio
NVLU	NYSE Advancing Volume
NVOT	NYSE Total Volume
NWV	AMEX Networking Index Settlemen
NWX	AMEX Networking Index
NXTQ	NASDAQ Q-50 Index
NYA	NYSE Composite
NYI	NYSE International 100 Index
NYL	NYSE World Leaders Index
NYXR	S&P C.S. Ny-New York Home Price Index
NZ50	NZSX 50 Index
OEX	S&P 100 Index
OFIN	Nasdaq Other Financial Index
OILBR	Crude Oil Brent NYMEX
OILSW	Crude Oil Light Sweet NYMEX
